Sequence,Achievement,count,proportion
1,Achiever,53,0.3732394366197183
1,Intermediate,33,0.2323943661971831
1,Low,56,0.39436619718309857
2,Achiever,56,0.39436619718309857
2,Intermediate,35,0.24647887323943662
2,Low,51,0.3591549295774648
3,Achiever,57,0.4014084507042254
3,Intermediate,25,0.176056338028169
3,Low,60,0.4225352112676056
4,Achiever,59,0.4154929577464789
4,Intermediate,39,0.2746478873239437
4,Low,44,0.30985915492957744
5,Achiever,53,0.3732394366197183
5,Intermediate,27,0.19014084507042253
5,Low,62,0.43661971830985913
6,Achiever,56,0.39436619718309857
6,Intermediate,26,0.18309859154929578
6,Low,60,0.4225352112676056
7,Achiever,54,0.38028169014084506
7,Intermediate,49,0.34507042253521125
7,Low,39,0.2746478873239437
8,Achiever,58,0.4084507042253521
8,Intermediate,31,0.21830985915492956
8,Low,53,0.3732394366197183
